Substrate,Products,Kinetic Law,Modifiers,Parameters,,,,,,,,,Parameters,,,,
C,Cp,Spontaneous,,k1_Cp0 ,,,basal C phosphorylation,,,,,,kCp0,,k1_kCp0,,k1_kCp0 
C,Cp,Activation by function k3_p(t),,k1_CpS k2_kmCpS k3_signal,,,signal-dependent C phosphorylation,,,,,,kCpS,kmCpS,k1_kCpS,k2_kmCpS,k1_kCpS k2_kmCpS
Cp,C,Hill Equation,,k1_Cpu k2_kmCpu,,,Cp dephosphorylation,,,,,,kCpu,kmCpu,k1_kCpu,k2_kmCpu,k1_kCpu k2_kmCpu
CB,CpB,Spontaneous,,k1_CpB0 ,,,basal CB phosphorylation,,,,,,kCpB0,,k1_kCpB0,,k1_kCpB0 
CB,CpB,Activation by function k3_p(t),,k1_CpBS k2_kmCpBS k3_signal,,,signal-dependent CB phosphorylation,,,,,,kCpBS,kmCpBS,k1_kCpBS,k2_kmCpBS,k1_kCpBS k2_kmCpBS
CpB,CB,Hill Equation,,k1_CpBu k2_kmCpBu,,,CpB dephosphorylation,,,,,,kCpBu,kmCpBu,k1_kCpBu,k2_kmCpBu,k1_kCpBu k2_kmCpBu
CM,CpM,Spontaneous,,k1_CpM0 ,,,basal CM phosphorylation,,,,,,kCpM0,,k1_kCpM0,,k1_kCpM0 
CM,CpM,Activation by function k3_p(t),,k1_CpMS k2_kmCpMS k3_signal,,,signal-dependent CM phosphorylation,,,,,,kCpMS,kmCpMS,k1_kCpMS,k2_kmCpMS,k1_kCpMS k2_kmCpMS
CpM,CM,Hill Equation,,k1_CpMu k2_kmCpMu,,,CpM dephosphorylation,,,,,,kCpMu,kmCpMu,k1_kCpMu,k2_kmCpMu,k1_kCpMu k2_kmCpMu
CBM,CpBM,Spontaneous,,k1_CpBM0 ,,,basal CBM phosphorylation,,,,,,kCpBM0,,k1_kCpBM0,,k1_kCpBM0 
CBM,CpBM,Activation by function k3_p(t),,k1_CpBMS k2_kmCpBMS k3_signal,,,signal-dependent CBM phosphorylation,,,,,,kCpBMS,kmCpBMS,k1_kCpBMS,k2_kmCpBMS,k1_kCpBMS k2_kmCpBMS
CpBM,CBM,Hill Equation,,k1_CpBMu k2_kmCpBMu,,,CpBM dephosphorylation,,,,,,kCpBMu,kmCpBMu,k1_kCpBMu,k2_kmCpBMu,k1_kCpBMu k2_kmCpBMu
B M ,BM,Mass Action Binding,,k1_BaM ,,,association between B and M,,,,,,kBaM,,k1_kBaM,,k1_kBaM 
BM,B M ,Spontaneous,,k1_BdM ,,,dissociation between B and M,,,,,,kBdM,,k1_kBdM,,k1_kBdM 
C B ,CB,Mass Action Binding,,k1_CaB ,,,association between C and B,,,,,,kCaB,,k1_kCaB,,k1_kCaB 
CB,C B,Spontaneous,,k1_CdB ,,,dissociation between C and B,,,,,,kCdB,,k1_kCdB,,k1_kCdB 
Cp B,CpB,Mass Action Binding,,k1_CpaB ,,,association between Cp and B,,,,,,kCpaB,,k1_kCpaB,,k1_kCpaB 
CpB,Cp B,Spontaneous,,k1_CpdB ,,,dissociation between Cp and B,,,,,,kCpdB,,k1_kCpdB,,k1_kCpdB 
C M ,CM ,Mass Action Binding,,k1_CaM ,,,association between C and M,,,,,,kCaM,,k1_kCaM,,k1_kCaM 
CM ,C M ,Spontaneous,,k1_CdM ,,,dissociation between C and M,,,,,,kCdM,,k1_kCdM,,k1_kCdM 
Cp M ,CpM ,Mass Action Binding,,k1_CpaM ,,,association between Cp and M,,,,,,kCpaM,,k1_kCpaM,,k1_kCpaM 
CpM,Cp M ,Spontaneous,,k1_CpdM ,,,dissociation between Cp and M,,,,,,kCpdM,,k1_kCpdM,,k1_kCpdM 
CB M ,CBM ,Mass Action Binding,,k1_CBaM ,,,association between CB and M,,,,,,kCBaM,,k1_kCBaM,,k1_kCBaM 
CBM ,CB M,Spontaneous,,k1_CBdM ,,,dissociation between CB and M,,,,,,kCBdM,,k1_kCBdM,,k1_kCBdM 
CpB M,CpBM,Mass Action Binding,,k1_CpBaM ,,,association between CpB and M,,,,,,kCpBaM,,k1_kCpBaM,,k1_kCpBaM 
CpBM,CpB M,Spontaneous,,k1_CpBdM ,,,dissociation between CpB and M,,,,,,kCpBdM,,k1_kCpBdM,,k1_kCpBdM 
CM B,CBM,Mass Action Binding,,k1_CMaB ,,,association between CM and B,,,,,,kCMaB,,k1_kCMaB,,k1_kCMaB 
CBM,CM B,Spontaneous,,k1_CMdB ,,,dissociation between CM and B,,,,,,kCMdB,,k1_kCMdB,,k1_kCMdB 
CpM B,CpBM,Mass Action Binding,,k1_CpMaB ,,,association between CpM and B,,,,,,kCpMaB,,k1_kCpMaB,,k1_kCpMaB 
CpBM,CpM B ,Spontaneous,,k1_CpMdB ,,,dissociation between CpM and B,,,,,,kCpMdB,,k1_kCpMdB,,k1_kCpMdB 
C BM,CBM,Mass Action Binding,,k1_CaBM ,,,association between C and BM,,,,,,kCaBM,,k1_kCaBM,,k1_kCaBM 
CBM,C BM,Spontaneous,,k1_CdBM ,,,dissociation between C and BM,,,,,,kCdBM,,k1_kCdBM,,k1_kCdBM 
Cp BM,CpBM,Mass Action Binding,,k1_CpaBM ,,,association between Cp and BM,,,,,,kCpaBM,,k1_kCpaBM,,k1_kCpaBM 
CpBM,Cp BM ,Spontaneous,,k1_CpdBM ,,,dissociation between Cp and BM,,,,,,kCpdBM,,k1_kCpdBM,,k1_kCpdBM 
TAK1,TAK1p,Spontaneous,,k1_Tp0 ,,,basal TAK1 phosphorylation,,,,,,kTp0,,k1_kTp0,,k1_kTp0 
TAK1,TAK1p,Activation_bymod1,Cp,k1_CTpS k2_kmCTpS,,,Cp-dependent TAK1 phosphorylation,,,,,,kCTpS,kmCTpS,k1_kCTpS,k2_kmCTpS,k1_kCTpS k2_kmCTpS
TAK1,TAK1p,Activation_bymod1,CpB,k1_CBTpS k2_kmCBTpS,,,CpB-dependent TAK1 phosphorylation,,,,,,kCBTpS,kmCBTpS,k1_kCBTpS,k2_kmCBTpS,k1_kCBTpS k2_kmCBTpS
TAK1 ,TAK1p,Activation_bymod1,CpM,k1_CMTpS k2_kmCMTpS,,,CpM-dependent TAK1 phosphorylation,,,,,,kCMTpS,kmCMTpS,k1_kCMTpS,k2_kmCMTpS,k1_kCMTpS k2_kmCMTpS
TAK1 ,TAK1p,Activation_bymod1,CpBM,k1_CBMTpS k2_kmCBMTpS,,,CpBM-dependent TAK1 phosphorylation,,,,,,kCBMTpS,kmCBMTpS,k1_kCBMTpS,k2_kmCBMTpS,k1_kCBMTpS k2_kmCBMTpS
TAK1,TAK1p,Activation_bymod1,IKKp,k1_TpIKK1 k2_kmTpIKK1,,,IKKp-dependent TAK1 phosphorylation,,,,,,kTpIKK1,kmTpIKK1,k1_kTpIKK1,k2_kmTpIKK1,k1_kTpIKK1 k2_kmTpIKK1
TAK1p,TAK1 ,Hill Equation,,k1_Tpu k2_kmTpu,,,basal TAK1 dephosphorylation,,,,,,kTpu,kmTpu,k1_kTpu,k2_kmTpu,k1_kTpu k2_kmTpu
TAK1C,TAK1pC,Spontaneous,,k1_TpC0 ,,,basal TAK1C phosphorylation,,,,,,kTpC0,,k1_kTpC0,,k1_kTpC0 
TAK1C,TAK1pC,Activation_bymod1,Cp,k1_CTpCS k2_kmCTpCS,,,Cp-dependent TAK1C phosphorylation,,,,,,kCTpCS,kmCTpCS,k1_kCTpCS,k2_kmCTpCS,k1_kCTpCS k2_kmCTpCS
TAK1C,TAK1pC,Activation_bymod1,CpB,k1_CBTpCS k2_kmCBTpCS,,,CpB-dependent TAK1C phosphorylation,,,,,,kCBTpCS,kmCBTpCS,k1_kCBTpCS,k2_kmCBTpCS,k1_kCBTpCS k2_kmCBTpCS
